               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.037715,            0.046845,            0.019257,             0.74798,             0.65131,             0.73873,             0.51364,            0.030687,            0.023047,            0.011416,           0.0097098,           0.0097098,           0.0097098
                  63,            0.037439,            0.045245,            0.019821,             0.75485,             0.67519,              0.7581,             0.53182,            0.030453,            0.022564,            0.011202,           0.0097003,           0.0097003,           0.0097003
                  64,            0.037605,            0.045436,            0.019105,             0.77666,              0.6752,             0.76953,             0.54193,            0.030294,            0.022716,            0.010598,           0.0096907,           0.0096907,           0.0096907
                  65,            0.036614,            0.044212,            0.018713,             0.79999,             0.64625,             0.76498,             0.53671,            0.030472,            0.022438,            0.010982,           0.0096809,           0.0096809,           0.0096809
                  66,            0.037105,             0.04509,            0.018512,             0.79445,             0.67928,             0.77645,             0.55123,            0.030296,            0.022113,           0.0098075,            0.009671,            0.009671,            0.009671
                  67,            0.037072,            0.046256,            0.018696,             0.78661,             0.66864,             0.76929,             0.54248,            0.029988,            0.022315,           0.0098835,            0.009661,            0.009661,            0.009661
                  68,            0.036737,            0.044042,            0.018305,             0.77588,             0.68547,             0.77636,              0.5512,            0.029855,            0.022231,           0.0096918,           0.0096508,           0.0096508,           0.0096508
                  69,            0.037121,            0.045559,            0.018437,              0.8025,             0.68681,             0.78732,             0.56275,            0.029662,            0.022013,           0.0094146,           0.0096404,           0.0096404,           0.0096404
                  70,            0.036962,             0.04442,            0.018326,             0.79044,             0.68042,             0.78144,             0.55768,            0.029608,            0.021963,           0.0092206,           0.0096299,           0.0096299,           0.0096299
                  71,            0.037232,            0.045933,            0.017912,             0.81454,              0.6911,             0.79822,             0.57398,            0.029254,            0.021289,           0.0087722,           0.0096193,           0.0096193,           0.0096193
                  72,            0.036519,            0.044422,             0.01753,             0.81954,             0.69656,             0.80405,             0.57644,            0.029119,            0.021308,           0.0086591,           0.0096085,           0.0096085,           0.0096085
                  73,            0.036929,            0.046295,            0.017477,             0.80158,             0.71108,             0.80113,             0.57484,            0.029078,            0.021371,           0.0085274,           0.0095976,           0.0095976,           0.0095976
                  74,            0.036393,            0.044529,            0.017424,             0.82197,             0.70159,             0.80285,             0.57775,            0.029134,            0.021187,            0.008587,           0.0095866,           0.0095866,           0.0095866
                  75,            0.036204,             0.04464,            0.017009,             0.80541,              0.7227,             0.81403,             0.58841,            0.028546,            0.020826,           0.0080998,           0.0095754,           0.0095754,           0.0095754
                  76,            0.036294,            0.044376,            0.017112,             0.81007,             0.72785,             0.82009,             0.59335,            0.028547,            0.020755,           0.0079743,            0.009564,            0.009564,            0.009564
